의류수거함,위치,위도,경도
서림동-18,서울특별시 관악구 서림5길 23,37.4734301012,126.9401154941
서림동-19,서울특별시 관악구 서림7길 39,37.4734323253,126.9413158526
서림동-20,서울특별시 관악구 서림7길 66,37.4722693583,126.9417951802
서림동-21,서울특별시 관악구 서림9길 30,37.4726649813,126.9408665199
서림동-22,서울특별시 관악구 서림길 107,37.4716845213,126.9400111879
서림동-23,서울특별시 관악구 서림길 118,37.4712549935,126.9401571348
서림동-24,서울특별시 관악구 서림길 40,37.4743358503,126.9381214576
서림동-25,서울특별시 관악구 서림길 40,37.4743358503,126.9381214576
서림동-26,서울특별시 관악구 서림길 99-6,37.4719454914,126.9399077671
서림동-27,서울특별시 관악구 신림로14길 31,37.4721807994,126.9386109219
서림동-28,서울특별시 관악구 신림로18가길 42,37.4724368301,126.9343529833
서림동-29,서울특별시 관악구 신림로18가길 9,37.4717335991,126.9358429926
서림동-30,서울특별시 관악구 신림로22길 18,37.4721011984,126.9356535498
서림동-31,서울특별시 관악구 신림로22길 29,37.4726981943,126.9354635688
서림동-32,서울특별시 관악구 신림로26길 16-4,37.4727538269,126.9343914817
